date,time,lat,loc
2017/11/2,17:52:8,37 38.28,127 12.77
2017/11/2,17:52:10,37 38.28,127 12.77
2017/11/2,17:52:12,37 38.28,127 12.77
2017/11/2,17:52:14,37 38.28,127 12.77
2017/11/2,17:52:16,37 38.28,127 12.77
2017/11/2,17:52:18,37 38.28,127 12.77
2017/11/2,17:52:20,37 38.28,127 12.77
2017/11/2,17:52:22,37 38.28,127 12.77
2017/11/2,17:52:24,37 38.28,127 12.78
2017/11/2,17:52:26,37 38.28,127 12.78
2017/11/2,17:52:28,37 38.28,127 12.78
2017/11/2,17:52:30,37 38.28,127 12.78
2017/11/2,17:52:32,37 38.28,127 12.78
2017/11/2,17:52:34,37 38.28,127 12.78
2017/11/2,17:52:36,37 38.28,127 12.78
2017/11/2,17:52:38,37 38.28,127 12.78
2017/11/2,17:52:40,37 38.28,127 12.78
2017/11/2,18:33:1,37 38.28,127 12.78
2017/11/2,18:33:3,37 38.29,127 12.78
2017/11/2,18:33:5,37 38.29,127 12.79
2017/11/2,18:33:7,37 38.29,127 12.79
2017/11/2,18:33:9,37 38.29,127 12.78
2017/11/2,18:33:11,37 38.29,127 12.77
2017/11/2,18:33:13,37 38.29,127 12.77
